chr,start,end,width,DMR_id,beta_normal,beta_cancer,delta,p.adj,gc.content,no.cpgs.hm450,no.cpgs.genomic,no.cpgs.expected,cpg.ratio,num.changes,feature,f_start,f_end,feature_gene_name,closest_gene_name,closest_distance,gene_start,gene_end,contains.CGI,category,is.hyper,no.atac.peaks,selected
chr1,10670627,10675112,4486,11,0.675188659032863,0.836889604632907,0.161700945600044,5.03259776422842e-247,0.574230940704414,19,149,368.773963441819,0.404041539726292,0,INTRON,10665571,10693873,CASZ1,CASZ1,25551,10645075,10645076,no CGI,CGI-like distal,hyper,0,FALSE
chr14,101021419,101027024,5606,12,0.864529406380153,0.671057459186532,-0.193471947193621,6.74953648182098e-243,0.508740635033892,41,129,362.680520870496,0.355684941916312,0,INTER,100886847,101559351,-,RTL1,136572,100884846,100884847,no CGI,non-CGI large distal,hypo,0,FALSE
chr7,4706500,4708114,1615,13,0.638939484067288,0.81721664224561,0.178277158178322,4.11069421834538e-238,0.524458204334365,10,53,111.02786377709,0.477357648764708,0,INTRON,4682868,4740837,FOXK1,FOXK1,24191,4682308,4682309,no CGI,CGI-like distal,hyper,0,FALSE
chr11,44310355,44311642,1288,14,0.152484252926727,0.318266652997173,0.165782400070445,1.2735681110917e-229,0.582298136645963,40,73,108.870341614907,0.670522374754857,0,P2000,44310166,44312166,ALX4,ALX4,189,44310165,44310166,CGI,CGI-like proximal,hyper,0,TRUE
chr16,51151325,51156290,4966,15,0.108652785389788,0.308447755887127,0.199794970497339,1.08572044794676e-209,0.612162706403544,28,370,465.233789770439,0.795299069275621,0,INTER,51153275,52438004,-,SALL1,50,51151274,51151275,CGI,CGI-like proximal,hyper,1,FALSE
chr6,1635343,1635612,270,16,0.60159136615926,0.828771223975513,0.227179857816253,1.49454054834841e-209,0.525925925925926,6,11,18.6111111111111,0.591044776119403,0,INTRON,1624540,1726415,GMDS,FOXC1,25371,1609971,1609972,no CGI,CGI-like distal,hyper,0,FALSE
chr11,31822339,31827715,5377,17,0.225324612090105,0.452881816891863,0.227557204801758,1.42547083786904e-205,0.549190998698159,26,225,405.376604054305,0.555039431851027,0,INTRON,31817961,32090903,PAX6,PAX6,4378,31817960,31817961,CGI,CGI-like distal,hyper,0,TRUE
chr3,27722982,27724891,1910,18,0.186292625735151,0.440930439942119,0.254637814206968,3.18671011795986e-205,0.515183246073299,15,95,126.692670157068,0.749846063566449,0,P2000,27722711,27724711,EOMES,EOMES,271,27722710,27722711,CGI,CGI-like proximal,hyper,0,TRUE
chr1,90834658,90836405,1748,19,0.213856348720691,0.503932273569588,0.290075924848897,6.27096017081499e-204,0.588100686498856,13,115,151.095537757437,0.761107850746834,0,INTER,90719237,90915297,-,ZNF644,103715,90940119,90940120,CGI,CGI-like distal,hyper,0,TRUE
chr3,62374487,62379727,5241,20,0.216439354714831,0.396705396410641,0.18026604169581,8.74510587055783e-199,0.49570692615913,29,192,321.832665521847,0.596583319746847,2,INTER,62376324,62398345,-,FEZF2,163,62374323,62374324,CGI,CGI-like proximal,hyper,0,TRUE
chr4,153789201,153793135,3935,21,0.258721713694432,0.416285458221613,0.157563744527181,1.43702826236441e-198,0.585260482846252,50,218,336.678526048285,0.647501943645599,2,INTER,153791120,154232036,-,SFRP2,81,153789119,153789120,CGI,CGI-like proximal,hyper,0,TRUE
chr5,16179924,16180930,1006,22,0.109576113143669,0.432912967404206,0.323336854260538,4.3006342304721e-197,0.593843098311817,10,72,88.7159880834161,0.811578629235367,1,P2000,16179775,16181775,MARCH11,MARCH11,149,16179774,16179775,CGI,CGI-like proximal,hyper,0,TRUE
chr10,23171316,23175589,4274,23,0.206004436459246,0.436382771025401,0.230378334566156,5.21276197121353e-197,0.591483387927001,19,266,372.466073935424,0.714159002964972,0,INTER,23122013,23190327,-,PTF1A,16738,23192326,23192327,CGI,CGI-like distal,hyper,0,TRUE
chr7,97001777,97005451,3675,24,0.226403857012869,0.463127765458491,0.236723908445622,1.91188807814881e-193,0.51156462585034,19,146,240.417959183674,0.60727576465475,0,P2000,97003548,97005547,DLX6,DLX6,97,97005547,97005548,CGI,CGI-like proximal,hyper,1,FALSE
chr7,19117673,19119331,1659,25,0.109453597274992,0.305387028081933,0.19593343080694,2.5175156250703e-189,0.591320072332731,27,92,144.987341772152,0.634538152610441,0,P2000,19117672,19119672,TWIST1,TWIST1,1,19117671,19117672,CGI,CGI-like proximal,hyper,0,TRUE
chr1,118989566,118990302,737,26,0.243864442230284,0.529991401131561,0.286126958901277,9.29103694277246e-189,0.567164179104478,10,29,59.2198100407056,0.489700996677741,0,P2000,118989556,118991556,TBX15,TBX15,10,118989555,118989556,CGI,CGI-like proximal,hyper,0,TRUE
chr6,100469083,100469995,913,27,0.249814415095771,0.551342956482888,0.301528541387117,1.68984960971138e-188,0.553121577217963,7,49,69.3253012048193,0.706812652068126,0,INTER,100466929,100508193,-,SIM1,4154,100464928,100464929,CGI,CGI-like distal,hyper,0,TRUE
chr4,110628724,110631862,3139,28,0.146184308868995,0.439617489186046,0.293433180317051,8.24642792403031e-187,0.510990761388977,15,135,204.904428161835,0.658843741011668,0,INTRON,110623103,110632342,PITX2,PITX2,5158,110637019,110637020,CGI,CGI-like distal,hyper,1,FALSE
chr1,63318306,63321499,3194,29,0.219390215756162,0.510213547471154,0.290823331714992,6.48361150339457e-185,0.535378835316218,15,162,228.268315591735,0.709691135101474,0,INTER,62865513,63321041,-,FOXD3,1542,63323040,63323041,CGI,CGI-like proximal,hyper,0,TRUE
chr10,132786279,132789026,2748,30,0.0738402230832101,0.250901373546037,0.177061150462827,3.18203879090544e-184,0.723435225618632,37,332,358.90538573508,0.925034878816392,0,P2000,132786052,132788052,NKX6-2,NKX6-2,227,132786051,132786052,CGI,CGI-like proximal,hyper,0,TRUE
chr7,8440263,8444080,3818,31,0.140690290674627,0.401742159115635,0.261051868441008,5.0633611017247e-184,0.525405971712939,18,203,263.490832896805,0.77042528488839,0,INTRON,8435767,8751006,NXPH1,NXPH1,5068,8435194,8435195,CGI,CGI-like distal,hyper,1,FALSE
chr11,31803425,31806372,2948,32,0.115274390916376,0.385061836655531,0.269787445739155,9.23093675650643e-183,0.58955223880597,18,165,255.134328358209,0.646718146718147,0,INTRON,31802834,31806401,PAX6,PAX6,549,31806920,31806921,CGI,CGI-like proximal,hyper,0,TRUE
chr5,73297221,73303959,6739,33,0.19068156502697,0.391507917370993,0.200826352344024,1.58909296415362e-182,0.533313548004155,35,336,478.496067665826,0.702200128078497,0,INTER,73175143,73446255,-,TMEM174,124026,73173194,73173195,CGI,CGI-like distal,hyper,1,FALSE
chr7,4711980,4713371,1392,34,0.778915162565462,0.417783169756941,-0.361131992808521,3.69521538598389e-182,0.455459770114943,11,43,72.1551724137931,0.595937873357228,0,INTRON,4682868,4740837,FOXK1,FOXK1,27488,4740858,4740859,no CGI,CGI-like distal,hypo,3,TRUE
chr14,56807832,56810071,2240,35,0.144460963785688,0.405795257874137,0.261334294088448,1.06073610369773e-181,0.589285714285714,15,180,194.138839285714,0.927171506032825,0,INTRON,56806723,56810158,OTX2,OTX2,377,56810447,56810448,CGI,CGI-like proximal,hyper,0,TRUE
chr15,52794433,52795959,1527,36,0.204698720242722,0.494462382025672,0.28976366178295,2.55860813922064e-181,0.576948264571054,11,83,126.970530451866,0.653694992882344,0,INTER,52792012,53513740,-,ONECUT1,4421,52790011,52790012,CGI,CGI-like distal,hyper,0,TRUE
chr4,4852732,4859603,6872,37,0.187207589363981,0.325312413777391,0.13810482441341,2.41863541492171e-176,0.554278230500582,49,335,527.761641443539,0.634756249210732,0,INTER,4544346,4857666,-,MSX1,63,4859665,4859666,CGI,CGI-like proximal,hyper,1,FALSE
chr8,64376670,64380569,3899,38,0.153356748600242,0.383172267833586,0.229815519233344,3.15647174693817e-175,0.527435897435898,19,176,271.126153846154,0.64914430977348,1,INTER,63212786,64578367,-,BHLHE22,199798,64580366,64580367,CGI,CGI-like distal,hyper,0,TRUE
chr2,222299006,222302898,3893,39,0.157570877653524,0.373787118392595,0.216216240739071,4.83960657303566e-175,0.539943488312356,25,152,283.703313639866,0.535770971617728,0,INTRON,222298996,222302977,PAX3,PAX3,10,222298995,222298996,CGI,CGI-like proximal,hyper,0,TRUE
chr11,20596391,20599308,2918,40,0.133481531191359,0.345875595128297,0.212394063936937,1.254056792068e-173,0.565798492117889,20,158,232.400274160384,0.67986150434126,0,P2000,20597400,20599399,SLC6A5,SLC6A5,92,20599399,20599400,CGI,CGI-like proximal,hyper,0,TRUE
chr4,13534785,13540239,5455,41,0.194906386334413,0.375834562924575,0.180928176590162,1.02062628429316e-172,0.525572868927589,28,213,376.698808432631,0.565438475598717,0,INTER,13486365,13540829,-,NKX3-2,4811,13545049,13545050,CGI,CGI-like distal,hyper,0,TRUE
chr13,112065857,112067636,1780,42,0.144695950104845,0.362098116109715,0.217402166004869,1.4106904955974e-172,0.666292134831461,16,170,193.400561797753,0.87900468550746,0,P2000,112065647,112067646,SOX1,SOX1,11,112067646,112067647,CGI,CGI-like proximal,hyper,1,FALSE
chr1,90717299,90720365,3067,43,0.191933491462696,0.435137215196095,0.243203723733399,1.2903891942338e-169,0.606781871535703,18,262,279.865666775351,0.936163420896884,0,P2000,90717237,90719237,BARHL2,BARHL2,62,90717236,90717237,CGI,CGI-like proximal,hyper,0,TRUE
chr10,117138325,117141679,3354,44,0.135527395831353,0.362898851779818,0.227371455948465,3.45229852463716e-169,0.571385991058122,15,173,273.672131147541,0.632143285012579,1,P2000,117138301,117140301,VAX1,VAX1,24,117138300,117138301,CGI,CGI-like proximal,hyper,0,TRUE
chr7,1077782,1078280,499,45,0.717394923147974,0.898784162880548,0.181389239732575,1.35540360012521e-167,0.561122244488978,6,28,38.3086172344689,0.730906047290229,0,INTRON,1059261,1082207,C7orf50,GPER1,3928,1082207,1082208,no CGI,CGI-like distal,hyper,0,FALSE
chr8,64368319,64371962,3644,46,0.129090251745237,0.368051574600243,0.238961322855006,1.34986738190941e-166,0.580680570801317,18,206,305.677277716795,0.673913355741331,0,INTER,63212786,64578367,-,BHLHE22,208405,64580366,64580367,CGI,CGI-like distal,hyper,0,TRUE
chr10,123141940,123148084,6145,47,0.166054257870178,0.315542312865417,0.149488054995239,1.25686270977205e-165,0.566476810414972,31,296,492.527908868999,0.600981172172985,0,INTER,123137741,123146122,-,HMX2,38,123148121,123148122,CGI,CGI-like proximal,hyper,0,TRUE
chr14,101038793,101049542,10750,48,0.839238105966775,0.678030361167932,-0.161207744798843,4.97565255506382e-165,0.508372093023256,52,240,692.512,0.346564391663971,0,INTER,100886847,101559351,-,RTL1,153946,100884846,100884847,no CGI,non-CGI large distal,hypo,0,FALSE
chr2,44932006,44936049,4044,49,0.215955280744346,0.42014665201613,0.204191371271784,7.37195486373348e-165,0.60459940652819,23,218,369.447082096934,0.590070975152003,0,INTER,44772592,44939898,-,SIX3,5849,44941897,44941898,CGI,CGI-like distal,hyper,0,TRUE
chr6,28090937,28091430,494,50,0.435286698044028,0.647098158581108,0.21181146053708,8.57615919984233e-165,0.617408906882591,10,33,47.0647773279352,0.701161290322581,0,INTER,28089563,28122560,-,ZNF165,9962,28080974,28080975,no CGI,CGI-like distal,hyper,0,TRUE
chr2,63057962,63060153,2192,51,0.18319218049144,0.437833805175432,0.254641624683992,1.35497271399713e-164,0.630930656934307,13,143,218.141423357664,0.65553803490838,0,INTER,63057836,63121382,-,OTX1,7160,63050801,63050802,CGI,CGI-like distal,hyper,2,FALSE
chr6,10384893,10385927,1035,52,0.144973521716175,0.423783422317867,0.278809900601692,2.36952006659737e-164,0.521739130434783,9,55,70.3565217391304,0.781732789519219,0,INTER,10213608,10393185,-,TFAP2A,18667,10404593,10404594,CGI,CGI-like distal,hyper,0,TRUE
chr13,99988660,99992403,3744,53,0.185071959946499,0.374982961253991,0.189911001307492,2.97757038541918e-164,0.588141025641026,26,187,322.5,0.57984496124031,0,INTER,99986773,100087015,-,ZIC2,6888,99981771,99981772,CGI,CGI-like distal,hyper,0,TRUE
chr6,100464946,100467929,2984,54,0.154706857290977,0.393938526958065,0.239231669667088,3.01800280920292e-164,0.533512064343164,19,148,212.329423592493,0.697030103015985,0,P2000,100464929,100466929,SIM1,SIM1,17,100464928,100464929,CGI,CGI-like proximal,hyper,1,FALSE
chr2,70904071,70907806,3736,55,0.416699984922148,0.618824598708348,0.2021246137862,3.49757217246339e-164,0.536670235546039,16,156,268.740364025696,0.580485929479071,0,INTRON,70900868,70921097,VAX2,VAX2,3481,70900589,70900590,CGI,CGI-like distal,hyper,0,TRUE
chr16,66579150,66579431,282,56,0.163211724800967,0.494514043708081,0.331302318907114,5.49969398088745e-164,0.73758865248227,8,38,36.936170212766,1.02880184331797,0,P2000,66579137,66579447,CMTM2,CMTM2,17,66579447,66579448,CGI,CGI-like proximal,hyper,0,TRUE
chr15,83284938,83286097,1159,57,0.225417644377272,0.43509967805677,0.209682033679498,9.96942986650596e-163,0.577586206896552,18,48,96.1172413793103,0.499390112649781,1,P2000,83284714,83286714,BNC1,BNC1,224,83284713,83284714,CGI,CGI-like proximal,hyper,0,TRUE
chr1,118991465,118993441,1977,58,0.233767336012417,0.525431749968818,0.2916644139564,1.737999004593e-162,0.510875063227112,10,80,128.995447647951,0.620176924524753,0,INTER,118991556,119031215,-,TBX15,1909,118989555,118989556,CGI,CGI-like proximal,hyper,0,TRUE
chr2,161426411,161428943,2533,59,0.312927682105395,0.548088190553365,0.235160508447971,3.55954407859192e-162,0.540860639557837,14,140,184.093564942756,0.760482855788757,0,INTER,161425870,161622335,-,TBR1,8516,161417894,161417895,CGI,CGI-like distal,hyper,0,TRUE
chr7,27240966,27242689,1724,60,0.22363426531383,0.470932738674597,0.247298473360767,3.87683987565348e-162,0.493619489559165,20,44,104.993039443155,0.419075399982323,0,P2000,27240700,27242699,EVX1,EVX1,11,27242699,27242700,CGI,CGI-like proximal,hyper,0,TRUE
chr10,129964198,129973431,9234,61,0.115489766414643,0.266879956557604,0.151390190142962,4.75850051672511e-162,0.609270088802253,38,726,856.376976391596,0.84775749467139,0,INTER,129965841,130063899,-,EBF3,357,129963840,129963841,CGI,CGI-like proximal,hyper,2,FALSE
chr1,110067351,110069852,2501,62,0.274858527132034,0.503943301628157,0.229084774496123,5.20260743634302e-162,0.630295763389289,13,197,248.213429256595,0.793671803294526,1,INTRON,110064903,110070335,ALX3,ALX3,848,110070699,110070700,CGI,CGI-like proximal,hyper,0,TRUE
chr6,99601973,99606709,4736,63,0.195620020616799,0.368636761808637,0.173016741191838,8.03242483325288e-161,0.506649778340722,25,190,303.581169516572,0.62586227038574,1,INTER,99570973,99604730,-,PRDM13,21,99606729,99606730,CGI,CGI-like proximal,hyper,0,TRUE
chr5,88677621,88678730,1110,64,0.163323245785871,0.439972611761361,0.276649365975489,2.13302764117224e-159,0.54954954954955,12,60,82.8837837837838,0.723905174943751,0,INTER,88270857,88717116,-,MEF2C,53097,88731826,88731827,CGI,CGI-like distal,hyper,0,TRUE
chr18,78976785,78980262,3478,65,0.1068993671171,0.346211036544009,0.239311669426908,4.86451540130089e-158,0.647498562392179,16,363,364.512938470385,0.995849424504014,0,P2000,78978275,78980274,SALL3,SALL3,13,78980274,78980275,CGI,CGI-like proximal,hyper,0,TRUE
chr17,36932051,36937416,5366,66,0.115080497280294,0.31622960010558,0.201149102825286,2.72711362551363e-157,0.621133060007454,37,350,517.190085724935,0.676733776730101,0,INTER,36608971,36935475,-,LHX1,59,36937474,36937475,CGI,CGI-like proximal,hyper,0,TRUE
chr2,176120446,176122683,2238,67,0.190351008460276,0.434188984706244,0.243837976245968,3.65806150466729e-157,0.558087578194817,14,114,174.181411974978,0.654490044071848,0,P2000,176120720,176122719,HOXD9,HOXD9,37,176122719,176122720,CGI,CGI-like proximal,hyper,1,FALSE
chr13,78595579,78597544,1966,68,0.203169851798388,0.462364928064559,0.259195076266172,3.24526376255987e-155,0.563072227873856,16,134,155.737538148525,0.86042197400222,0,INTER,77921768,78598361,-,POU4F1,6016,78603559,78603560,CGI,CGI-like distal,hyper,0,TRUE
chr2,176164345,176165500,1156,69,0.252538763717881,0.522584087015197,0.270045323297316,3.99124891557688e-155,0.557093425605536,9,78,89.6496539792388,0.870053553336228,0,INTRON,176164168,176169030,HOXD3,HOXD3,268,176164076,176164077,CGI,CGI-like proximal,hyper,0,TRUE
chr13,112104177,112108444,4267,70,0.155478387450651,0.349115757174372,0.193637369723722,9.21800916742158e-155,0.599343955014058,17,260,382.436972820993,0.679850585789722,1,INTER,112070488,112374319,-,SOX1,36530,112067646,112067647,CGI,CGI-like distal,hyper,0,TRUE
chr3,147407040,147409350,2311,71,0.269975191321687,0.496023358945192,0.226048167623505,1.73364337035877e-153,0.469926438771095,29,96,125.756815231502,0.763378110548334,0,INTRON,147406860,147409383,ZIC4,ZIC1,34,147409383,147409384,CGI,CGI-like proximal,hyper,1,FALSE
chr1,24929878,24932615,2737,72,0.26411428612175,0.451436138737481,0.187321852615732,3.448064772986e-153,0.683345507669832,30,275,318.943754565376,0.862220990577922,1,INTRON,24929877,24964513,RUNX3,RUNX3,1,24929876,24929877,CGI,CGI-like proximal,hyper,2,FALSE
chr11,31817973,31820433,2461,73,0.188090654312848,0.418422720222413,0.230332065909565,4.28503171231378e-153,0.617228768793174,15,135,234.318569687119,0.576138716535624,0,INTRON,31817961,32090903,PAX6,PAX6,12,31817960,31817961,CGI,CGI-like proximal,hyper,0,TRUE
chr13,27926745,27929371,2627,74,0.132691640400048,0.360972291340824,0.228280650940776,9.62201364199974e-152,0.579748762847355,14,146,220.734678340312,0.661427561349958,0,INTER,27926231,27943206,-,PDX1,6725,27920019,27920020,CGI,CGI-like distal,hyper,0,TRUE
chr2,236101404,236101668,265,75,0.797503471246734,0.923872720272265,0.126369249025531,4.10288219726683e-150,0.569811320754717,4,15,21.2981132075472,0.704287739192061,0,INTRON,236049281,236120191,AGAP1,GBX2,66341,236168008,236168009,CGI,CGI-like distal,hyper,0,FALSE
chr7,27165581,27167288,1708,76,0.155715643833548,0.425414036111674,0.269698392278126,7.58842761581523e-149,0.569672131147541,14,112,137.991803278689,0.811642411642409,0,INTRON,27165530,27170590,HOXA9,HOXA9,51,27165529,27165530,CGI,CGI-like proximal,hyper,0,TRUE
chr2,44928062,44930474,2413,77,0.156038128142012,0.399972378581429,0.243934250439417,8.91932520528065e-149,0.646083713220058,13,203,251.619560712806,0.806773525177959,0,INTER,44772592,44939898,-,SIX3,11424,44941897,44941898,CGI,CGI-like distal,hyper,0,TRUE
chr7,35254148,35259606,5459,78,0.206447010280904,0.397791028094015,0.19134401781311,1.67838459009096e-148,0.527569151859315,24,279,379.735299505404,0.734722319371917,2,INTER,35256147,35632658,-,TBX20,1,35254146,35254147,CGI,CGI-like proximal,hyper,2,FALSE
chr11,43574979,43583719,8741,79,0.133415594883983,0.276125787573688,0.142710192689705,3.72680209569853e-146,0.555886054227205,50,410,670.241391145178,0.611719904823353,2,INTER,43494933,43678558,-,HSD17B12,96839,43680557,43680558,CGI,CGI-like distal,hyper,0,TRUE
chr1,227558410,227561018,2609,80,0.490674140622363,0.712592831867354,0.221918691244991,1.36521352799398e-145,0.621310847067842,12,131,249.658873131468,0.524715978874969,0,INTER,227320474,227561543,-,ZNF678,2525,227563542,227563543,CGI,CGI-like distal,hyper,1,FALSE
chr19,58203884,58205150,1267,81,0.550295025126318,0.77407078751147,0.223775762385152,5.75198400844172e-145,0.567482241515391,8,74,99.6606156274665,0.742519996832185,0,INTRON,58187042,58206719,ZNF274,ZNF274,19963,58183920,58183921,CGI,CGI-like distal,hyper,0,FALSE
chr3,147391639,147393873,2235,82,0.165478719275083,0.387569047014377,0.222090327739294,1.23194949612334e-144,0.584340044742729,17,130,190.269798657718,0.683240329874217,0,INTRON,147391246,147393894,ZIC4,ZIC1,22,147393894,147393895,CGI,CGI-like proximal,hyper,2,FALSE
chr5,172748318,172749596,1279,83,0.526649624948862,0.742341061646306,0.215691436697443,1.37285261826987e-144,0.55199374511337,6,60,97.3143080531665,0.616558871972041,0,INTER,172691540,172768089,-,DUSP1,21599,172771194,172771195,CGI,CGI-like distal,hyper,0,FALSE
chr6,10380963,10383871,2909,84,0.203412257832682,0.4332382907701,0.229826032937417,2.28896712098781e-144,0.56548642145067,16,146,232.382261945686,0.628275147928994,0,INTER,10213608,10393185,-,TFAP2A,20723,10404593,10404594,CGI,CGI-like distal,hyper,1,FALSE
chr2,176156974,176160880,3907,85,0.176456631210517,0.389885621392726,0.21342899018221,3.17763124815703e-144,0.586895316099309,22,240,335.591502431533,0.715155176043126,0,INTRON,176153226,176160890,HOXD3,HOXD3,11,176160890,176160891,CGI,CGI-like proximal,hyper,0,TRUE
chr3,158094229,158095881,1653,86,0.269550718401953,0.552474735018065,0.282924016616113,6.73505709291023e-144,0.591046581972172,9,96,144.133091349062,0.666051071974214,0,INTER,157677749,158096010,-,SHOX2,7006,158102886,158102887,CGI,CGI-like distal,hyper,0,TRUE
chr12,113478668,113480189,1522,87,0.145360878332657,0.376452030341603,0.231091152008946,1.53358114555088e-143,0.553219448094612,13,91,115.553219448095,0.787515920669575,0,INTER,113474072,113816741,-,LHX5,6596,113472071,113472072,CGI,CGI-like distal,hyper,0,TRUE
chr17,75509936,75510149,214,88,0.642523487537387,0.815030197847149,0.172506710309762,3.5445498183533e-143,0.644859813084112,6,10,21.5747663551402,0.463504440112627,0,INTRON,75509888,75513710,CASKIN2,CASKIN2,48,75509887,75509888,no CGI,CGI-like proximal,hyper,0,FALSE
chr11,31796262,31800216,3955,89,0.236061800424973,0.41371019875168,0.177648398326707,5.32925628405979e-143,0.552970922882427,23,188,301.766371681416,0.622998510246454,0,INTRON,31794788,31800690,PAX6,PAX6,6705,31806920,31806921,CGI,CGI-like distal,hyper,0,TRUE
chr7,155371599,155375905,4307,90,0.135838462800073,0.348634570731306,0.212796107931233,4.56748116150193e-142,0.605061527745531,23,310,393.913164615742,0.786975475425914,0,INTER,155369934,155456129,-,BLACE,3665,155367933,155367934,CGI,CGI-like distal,hyper,0,TRUE
chr1,50423510,50428312,4803,91,0.158538219874379,0.355818270858139,0.197280050983761,5.90959402356214e-142,0.570060378929836,28,270,390.18550905684,0.691978542854261,0,INTER,50425500,50437027,-,DMRTA2,10,50423499,50423500,CGI,CGI-like proximal,hyper,1,FALSE
chr14,101559478,101561340,1863,92,0.111491894745197,0.317111505262395,0.205619610517198,7.53895932273005e-142,0.765968867418143,18,259,273.220611916264,0.947951906642306,0,P2000,101559351,101561350,DIO3,DIO3,11,101561350,101561351,CGI,CGI-like proximal,hyper,2,FALSE
chr14,101052183,101056202,4020,93,0.853229601190035,0.666333985758997,-0.186895615431038,9.16178322881066e-141,0.513930348258706,25,73,264.226119402985,0.276278515405451,0,INTER,100886847,101559351,-,RTL1,167336,100884846,100884847,no CGI,non-CGI large distal,hypo,0,FALSE
chr2,199465127,199470835,5709,94,0.15213802560744,0.335008947007837,0.182870921400397,5.37504217060389e-140,0.515677001226134,24,169,378.798213347346,0.446147827643084,2,INTRON,199465108,199471013,SATB2,SATB2,19,199465107,199465108,CGI,CGI-like proximal,hyper,0,TRUE
chr7,79453582,79454880,1299,95,0.190375162440042,0.41003289508474,0.219657732644699,2.49889226901298e-139,0.633564280215551,19,91,124.59584295612,0.730361445783133,0,P2000,79453574,79455574,MAGI2,MAGI2,8,79453573,79453574,CGI,CGI-like proximal,hyper,1,FALSE
chr14,60641509,60643284,1776,96,0.284315526603785,0.605114495391782,0.320798968787997,1.13010060881856e-138,0.630630630630631,7,112,176.571509009009,0.634303918160917,0,INTER,60517543,60643414,-,SIX1,6178,60649461,60649462,CGI,CGI-like distal,hyper,0,TRUE
chr4,907997,909244,1248,97,0.705643424089616,0.874693670986829,0.169050246897213,1.25418436186367e-138,0.512820512820513,5,40,81.5504807692308,0.490493736182756,0,INTRON,904779,911672,GAK,GAK,6491,915734,915735,no CGI,CGI-like distal,hyper,0,FALSE
chr6,28634766,28635660,895,98,0.0845026780175002,0.234076293791976,0.149573615774476,1.37917594245487e-137,0.547486033519553,35,52,66.7441340782123,0.779094683273068,0,INTER,28589335,28903001,-,ZBED9,47431,28587334,28587335,CGI,CGI-like distal,hyper,0,TRUE
chr21,36704409,36707315,2907,99,0.179167892314215,0.396940749278313,0.217772856964098,2.90085714542723e-137,0.593051255589955,15,131,255.453388372893,0.512813710690638,0,INTRON,36699921,36709167,SIM2,SIM2,1866,36709180,36709181,CGI,CGI-like proximal,hyper,0,TRUE
chr10,8046838,8054687,7850,100,0.126730688276169,0.27478419413893,0.148053505862761,4.26328522742138e-136,0.602547770700637,66,494,711.957834394904,0.693861316126752,0,INTER,8016627,8052693,-,GATA3,6,8054692,8054693,CGI,CGI-like proximal,hyper,3,FALSE
