"","chr","start","end","center","width"
"58","chr7",128104142,128104502,128104322,360
"59","chr3",52897210,52897824,52897517,614
"60","chr1",1332055,1333606,1332830,1551
"61","chr16",31427570,31428361,31427965,791
"62","chr1",153535948,153536364,153536156,416
"63","chr12",56188924,56189898,56189411,974
"64","chr1",169427383,169427631,169427507,248
"65","chr17",59707393,59707747,59707570,354
"66","chr16",89934863,89935848,89935355,985
"67","chr1",223394339,223394644,223394491,305
"68","chr17",78476214,78476451,78476332,237
"69","chr1",57422291,57424965,57423628,2674
"70","chr1",44029957,44031353,44030655,1396
"71","chr6",31541891,31542119,31542005,228
"72","chr3",197554734,197556257,197555495,1523
"73","chr4",1711540,1713253,1712396,1713
"74","chr3",14124217,14125499,14124858,1282
"75","chr6",145815189,145815428,145815308,239
"76","chr1",8702946,8703521,8703233,575
"77","chr1",151346850,151347069,151346959,219
"78","chr1",201399133,201399904,201399518,771
"79","chr12",113462945,113468637,113465791,5692
"80","chr19",30224642,30224846,30224744,204
"81","chr1",10793837,10796907,10795372,3070
"82","chr1",10697834,10698195,10698014,361
"83","chr3",149812506,149813447,149812976,941
"84","chr1",12540321,12540530,12540425,209
"85","chr17",50840427,50840961,50840694,534
"86","chr10",4825933,4826605,4826269,672
"87","chr17",64505361,64507448,64506404,2087
"88","chr19",17226097,17227059,17226578,962
"89","chr1",44617067,44617613,44617340,546
"90","chr16",2842578,2842809,2842693,231
"91","chr3",108589380,108589757,108589568,377
"92","*",NA,NA,NA,NA
"93","chr7",16399497,16399700,16399598,203
"94","chr16",66552365,66552816,66552590,451
"95","chr6",81751416,81754088,81752752,2672
"96","chr3",36944049,36945550,36944799,1501
"97","chr19",39406601,39408302,39407451,1701
"98","chr2",236120204,236120477,236120340,273
"99","chr4",10018857,10019402,10019129,545
"100","chr17",76671742,76672008,76671875,266
"101","chr10",98268108,98268751,98268429,643
"102","chr22",12097884,12098371,12098127,487
"103","chr22",21045690,21045981,21045835,291
"104","chr2",38750393,38751542,38750967,1149
"105","chr1",16680247,16680656,16680451,409
"106","chr12",132035780,132036402,132036091,622
"107","chr1",34163182,34165375,34164278,2193
"108","chr17",7572598,7574012,7573305,1414
"109","chr9",137788668,137789322,137788995,654
"110","chr21",43982603,43982961,43982782,358
"111","chr6",31158308,31158784,31158546,476
"112","chr6",133952079,133953706,133952892,1627
"113","chr1",15975407,15976177,15975792,770
"114","chr2",105398421,105399427,105398924,1006
"115","chr6",71584669,71585285,71584977,616
"116","chr12",76348129,76348506,76348317,377
"117","chr22",46122574,46122849,46122711,275
"118","chr6",160991345,160992532,160991938,1187
"119","chr4",177442085,177442554,177442319,469
"120","chr3",111071302,111072554,111071928,1252
"121","chr16",75114500,75114966,75114733,466
"122","chr14",68792895,68796183,68794539,3288
"123","chr6",146598898,146599109,146599003,211
"124","chr12",111418092,111418946,111418519,854
"125","chr8",17413094,17413611,17413352,517
"126","chr16",56657777,56658122,56657949,345
"127","chr6",127118120,127118451,127118285,331
"128","chr16",89305573,89307106,89306339,1533
"129","chr6",46687525,46689001,46688263,1476
"130","chr16",69965134,69965874,69965504,740
"131","chr19",35021685,35021905,35021795,220
"132","chr16",3234639,3235558,3235098,919
"133","chr18",63422029,63423124,63422576,1095
"134","chr4",3463072,3463713,3463392,641
"135","chr16",30697953,30699089,30698521,1136
"136","chr16",2519558,2521070,2520314,1512
"137","chr17",18118861,18121554,18120207,2693
"138","chr12",132433158,132433387,132433272,229
"139","chr6",169751255,169752035,169751645,780
"140","chrX",68840335,68840715,68840525,380
"141","chr11",47589586,47590875,47590230,1289
"142","chr8",144125640,144126097,144125868,457
"143","chr13",23466328,23466881,23466604,553
"144","chr4",74444969,74445423,74445196,454
"145","chr2",176164685,176165509,176165097,824
"146","chr2",236163150,236170119,236166634,6969
"147","chr10",110304379,110305101,110304740,722
"148","chr14",66507651,66509517,66508584,1866
"149","chr10",123147767,123151519,123149643,3752
"150","chr16",72093230,72093442,72093336,212
"151","chr12",52069564,52070418,52069991,854
"152","chr1",154501631,154503223,154502427,1592
"153","chr2",26503321,26503842,26503581,521
"154","chr1",160343138,160343548,160343343,410
"155","chr7",149126122,149127136,149126629,1014
"156","chr4",147731697,147732767,147732232,1070
"157","chr1",154182792,154183450,154183121,658
"158","chr13",109869632,109869919,109869775,287
"159","chrX",104566869,104567362,104567115,493
"160","chr15",89496233,89496753,89496493,520
"161","chr7",23597116,23597938,23597527,822
"162","chr4",1766836,1767709,1767272,873
"163","chr13",29503108,29503353,29503230,245
"164","chr1",33276173,33276780,33276476,607
"165","chr9",122213474,122214413,122213943,939
"166","chr8",66428561,66429876,66429218,1315
"167","chr17",21513029,21513243,21513136,214
"168","chr1",43530758,43531829,43531293,1071
"169","chr14",105314002,105315690,105314846,1688
"170","chr4",164956884,164957294,164957089,410
"171","chr19",2944684,2945509,2945096,825
"172","chr14",24051780,24052635,24052207,855
"173","chr19",4047756,4048430,4048093,674
"174","chr19",13255108,13255344,13255226,236
"175","chr6",99349332,99350070,99349701,738
"176","chr2",239527380,239528070,239527725,690
"177","chr19",7519439,7520395,7519917,956
"178","chr14",103138202,103139085,103138643,883
"179","chr11",20601174,20601853,20601513,679
"180","chr8",37736316,37737185,37736750,869
"181","chr1",1908519,1909162,1908840,643
"182","chr1",205210835,205211782,205211308,947
"183","chr11",94128394,94129607,94129000,1213
"184","chr19",55644946,55645177,55645061,231
"185","chr1",153783481,153783859,153783670,378
"186","chr19",51949063,51949290,51949176,227
"187","chr1",179742812,179744816,179743814,2004
"188","chr2",231780603,231781795,231781199,1192
"189","chr16",50024956,50025512,50025234,556
"190","chr1",156845089,156846000,156845544,911
"191","chr12",98745608,98745991,98745799,383
"192","chr5",175773312,175773552,175773432,240
"193","chr14",93347137,93347765,93347451,628
"194","chr5",180352114,180354279,180353196,2165
"195","chr6",27865342,27865628,27865485,286
"196","chr13",60163526,60164151,60163838,625
"197","chr14",61695129,61696513,61695821,1384
"198","chr9",112332869,112334173,112333521,1304
"199","chr1",206909348,206909857,206909602,509
"200","chr3",43105616,43106221,43105918,605
"201","chr10",84328406,84329177,84328791,771
"202","chr8",1012315,1012747,1012531,432
"203","chr18",11980484,11982143,11981313,1659
"204","chr19",50517039,50519539,50518289,2500
"205","chr2",38535972,38536422,38536197,450
"206","chr1",53459518,53460555,53460036,1037
"207","chr4",3253230,3253448,3253339,218
"208","chr1",51878506,51879267,51878886,761
"209","chr19",2269116,2271365,2270240,2249
"210","chrX",72276850,72277377,72277113,527
"211","chrX",81003590,81003994,81003792,404
"212","chr1",45499914,45500377,45500145,463
"213","chr12",119690168,119690486,119690327,318
"214","chr2",131394576,131394867,131394721,291
"215","chr11",61516392,61516675,61516533,283
"216","chr11",61161088,61161790,61161439,702
"217","chr1",109113473,109113716,109113594,243
"218","chr20",19974892,19975390,19975141,498
"219","chr12",15911146,15911600,15911373,454
"220","chr1",50416212,50416431,50416321,219
"221","chr7",44112628,44112906,44112767,278
"222","chr14",22589015,22589453,22589234,438
"223","chr14",56117892,56119516,56118704,1624
"224","chr14",88824574,88825011,88824792,437
"225","chr2",117814536,117815051,117814793,515
"226","chr2",43831626,43832093,43831859,467
"227","chr4",185471420,185472030,185471725,610
"228","chr2",1167330,1168134,1167732,804
"229","chr16",62035217,62036730,62035973,1513
"230","chr2",201780664,201781432,201781048,768
"231","chr16",33516231,33517001,33516616,770
"232","chr1",1406728,1407555,1407141,827
"233","chr13",102845750,102846413,102846081,663
"234","chr1",65147358,65149215,65148286,1857
"235","chr13",110138181,110138659,110138420,478
"236","chr16",1104940,1105319,1105129,379
"237","chr21",46598629,46598878,46598753,249
"238","chr18",51196160,51198055,51197107,1895
"239","chr16",88662700,88664002,88663351,1302
"240","chr2",109128129,109130377,109129253,2248
"241","chr4",1623389,1623766,1623577,377
"242","chr10",97498183,97499763,97498973,1580
"243","chr8",144505007,144509987,144507497,4980
"244","chr19",13961853,13964012,13962932,2159
"245","chr1",45010553,45011350,45010951,797
"246","chr6",10722789,10723376,10723082,587
"247","chr2",55049419,55050908,55050163,1489
"248","chr1",90716540,90718983,90717761,2443
"249","chr2",231463734,231465438,231464586,1704
"250","chr6",30686615,30687624,30687119,1009
"251","chr12",76031063,76032536,76031799,1473
"252","chr2",169827350,169828119,169827734,769
"253","chr3",158103443,158103815,158103629,372
"254","chr4",83455513,83456084,83455798,571
"255","chr16",54291128,54291791,54291459,663
"256","chr4",89110753,89111854,89111303,1101
"257","chr16",11345329,11345910,11345619,581
"258","chrX",48521509,48522249,48521879,740
"259","chr1",9198506,9198897,9198701,391
"260","chr2",218873359,218874066,218873712,707
"261","chr2",20670246,20671520,20670883,1274
"262","chr8",63168115,63169207,63168661,1092
"263","chr2",212537456,212538523,212537989,1067
"264","chr12",49059854,49060979,49060416,1125
"265","chr16",8797465,8798071,8797768,606
"266","chr4",40437804,40438888,40438346,1084
"267","chr14",36657581,36659069,36658325,1488
"268","chr1",152515581,152515794,152515687,213
"269","chr16",3563099,3563545,3563322,446
"270","chr19",46346928,46347421,46347174,493
"271","chr16",85163129,85163386,85163257,257
"272","chr17",77793244,77793471,77793357,227
"273","chr16",49278041,49278397,49278219,356
"274","chr3",14555893,14556144,14556018,251
"275","chr2",216694316,216694761,216694538,445
"276","chrX",154485949,154487036,154486492,1087
"277","chr17",8392581,8393002,8392791,421
"278","chr6",30742530,30744663,30743596,2133
"279","chr17",75778708,75779963,75779335,1255
"280","chr5",667844,668474,668159,630
"281","chr2",192194269,192196086,192195177,1817
"282","chr6",53794456,53796174,53795315,1718
"283","chr22",50280550,50284205,50282377,3655
"284","chr14",20682759,20683065,20682912,306
"285","chr2",218216930,218217574,218217252,644
"286","chr18",24138898,24139586,24139242,688
"287","chr1",143884628,143885489,143885058,861
"288","chr6",15517051,15517326,15517188,275
"289","chr1",153633701,153634498,153634099,797
"290","chr1",227734942,227735730,227735336,788
"291","chrX",130339489,130339971,130339730,482
"292","chr11",17734509,17736739,17735624,2230
"293","chr7",141072558,141074760,141073659,2202
"294","chr15",97960304,97961419,97960861,1115
"295","chr12",132319713,132319983,132319848,270
"296","chr13",94549306,94550039,94549672,733
"297","chr6",39313327,39314439,39313883,1112
"298","chr13",20231877,20232728,20232302,851
"299","chr15",34038368,34039277,34038822,909
"300","chr6",30466252,30466645,30466448,393
"301","chr17",74748289,74749813,74749051,1524
"302","chr6",8063813,8064532,8064172,719
"303","chr17",75917925,75918295,75918110,370
"304","chr16",359984,361491,360737,1507
"305","chr14",61321162,61322749,61321955,1587
"306","chr11",4187218,4187923,4187570,705
"307","chr6",33788286,33789229,33788757,943
"308","chr8",87873943,87874217,87874080,274
"309","chr4",72031847,72032247,72032047,400
"310","chr1",76867426,76868849,76868137,1423
"311","chr1",192808502,192809068,192808785,566
"312","chr7",101088807,101089143,101088975,336
"313","chr1",37764166,37765216,37764691,1050
"314","chr17",62064886,62066155,62065520,1269
"315","chr12",122774349,122774761,122774555,412
"316","chr8",23726473,23727248,23726860,775
"317","chr2",71453428,71454146,71453787,718
"318","chr17",82663965,82664184,82664074,219
"319","chr22",21982551,21982936,21982743,385
"320","chr16",579463,579903,579683,440
"321","chr9",137174340,137174630,137174485,290
"322","chr19",1423753,1424007,1423880,254
"323","chr2",9206254,9207815,9207034,1561
"324","chr7",158455196,158456620,158455908,1424
"325","chr1",64505675,64505921,64505798,246
"326","chr19",7466924,7467783,7467353,859
"327","chr2",85354509,85354840,85354674,331
"328","chr22",21866765,21868077,21867421,1312
"329","chr2",126656120,126656595,126656357,475
"330","chr1",2018972,2020040,2019506,1068
"331","chrX",48598722,48598950,48598836,228
"332","chr1",6451629,6452050,6451839,421
"333","chr9",135086975,135088408,135087691,1433
"334","chr17",7853254,7854334,7853794,1080
"335","chr8",10612285,10612559,10612422,274
"336","chr19",2328365,2329090,2328727,725
"337","chr2",199850665,199851344,199851004,679
"338","chr11",124839326,124840061,124839693,735
"339","chr2",3317292,3317522,3317407,230
"340","chr8",20249921,20250147,20250034,226
"341","chr7",101743274,101743842,101743558,568
"342","chr1",43565615,43566167,43565891,552
"343","chr12",131432941,131434262,131433601,1321
"344","chr16",56730081,56730565,56730323,484
"345","chr10",92290666,92291655,92291160,989
"346","chr8",141226938,141227261,141227099,323
"347","chr13",113152974,113154469,113153721,1495
"348","chr22",29313292,29316024,29314658,2732
"349","chr5",132737003,132737737,132737370,734
"350","chr8",142669341,142670424,142669882,1083
"351","chr7",6577287,6577646,6577466,359
"352","chr19",2474612,2476830,2475721,2218
"353","chr17",79789565,79793557,79791561,3992
"354","chr12",6646835,6647513,6647174,678
"355","chr1",43974470,43975584,43975027,1114
"356","chr17",81890636,81892105,81891370,1469
"357","chr18",158278,159311,158794,1033
"358","chr2",176150220,176150486,176150353,266
"359","chr10",96043114,96044505,96043809,1391
"360","chr2",66425736,66427086,66426411,1350
"361","chr14",23555797,23556368,23556082,571
"362","chr16",35574084,35575503,35574793,1419
"363","chr12",54106343,54107374,54106858,1031
"364","chr6",19691679,19692074,19691876,395
"365","chr11",44726967,44728211,44727589,1244
"366","chr9",131373301,131373773,131373537,472
"367","chr8",143973125,143978137,143975631,5012
"368","chr6",28587086,28587347,28587216,261
"369","chr2",240129781,240129983,240129882,202
"370","chr14",24081108,24081939,24081523,831
"371","chr12",89707659,89710288,89708973,2629
"372","chr4",121380412,121381135,121380773,723
"373","chr1",46448114,46448671,46448392,557
"374","chr15",56918028,56919807,56918917,1779
"375","chr11",55874234,55874644,55874439,410
"376","chr5",171387443,171388651,171388047,1208
"377","chr6",36547218,36547531,36547374,313
"378","chr1",244054972,244055236,244055104,264
"379","chr17",42980445,42981229,42980837,784
"380","chr2",143936763,143937613,143937188,850
"381","chr7",21542825,21543695,21543260,870
"382","chr14",104176836,104177866,104177351,1030
"383","chr18",57352476,57354374,57353425,1898
"384","chr8",76999896,77000821,77000358,925
"385","chr17",42154891,42155245,42155068,354
"386","chrX",150568270,150569173,150568721,903
"387","chr1",41017746,41018021,41017883,275
"388","chr16",1655865,1656243,1656054,378
"389","chr6",49463221,49463423,49463322,202
"390","chr2",8837243,8837659,8837451,416
"391","chr6",7312578,7313423,7313000,845
"392","chr7",146116182,146116992,146116587,810
"393","chr16",31487329,31489243,31488286,1914
"394","chr19",41439785,41439999,41439892,214
"395","chr17",29019835,29020204,29020019,369
"396","chrX",40174986,40177255,40176120,2269
"397","chr1",112706720,112707576,112707148,856
"398","chr1",2402111,2402733,2402422,622
"399","chr6",28281389,28281791,28281590,402
"400","chr14",60091622,60092458,60092040,836
"401","chr2",45611153,45611443,45611298,290
"402","chr15",70585041,70585619,70585330,578
"403","chr17",40089165,40089406,40089285,241
"404","chr1",167121338,167121773,167121555,435
"405","chr17",40219188,40219584,40219386,396
"406","chr8",143916102,143926154,143921128,10052
"407","chr17",78232029,78232299,78232164,270
"408","chr8",19816752,19817777,19817264,1025
"409","chr10",8058421,8058805,8058613,384
"410","chr14",97218722,97219609,97219165,887
"411","chr1",2789460,2790396,2789928,936
"412","chr19",18109954,18110635,18110294,681
"413","chr22",30246448,30246682,30246565,234
"414","chr9",133255614,133256444,133256029,830
"415","chr7",153886232,153888581,153887406,2349
"416","chr1",28328854,28329156,28329005,302
"417","chr8",27463397,27463759,27463578,362
"418","chr15",84816961,84817634,84817297,673
"419","chr2",30447122,30447854,30447488,732
"420","chr2",118774489,118774739,118774614,250
"421","chr6",157592780,157593224,157593002,444
"422","chr1",26161316,26162115,26161715,799
"423","chr17",20155715,20156747,20156231,1032
"424","chr10",132783853,132789145,132786499,5292
"425","chr18",21600088,21601065,21600576,977
"426","chr1",29181464,29182174,29181819,710
"427","chr2",161418650,161419085,161418867,435
"428","chr7",102286212,102287799,102287005,1587
"429","chr2",65055896,65057035,65056465,1139
"430","chrX",151974208,151974899,151974553,691
"431","chr1",230978125,230979127,230978626,1002
"432","chrX",118823652,118823974,118823813,322
"433","chr2",109613329,109615724,109614526,2395
"434","chr7",2592537,2592738,2592637,201
"435","chr17",45160893,45161866,45161379,973
"436","chr2",208124110,208124545,208124327,435
"437","chr8",3022164,3022426,3022295,262
"438","chr12",123972026,123974181,123973103,2155
"439","chr16",1194669,1195128,1194898,459
"440","chr14",37598241,37600002,37599121,1761
"441","chr14",72892081,72894226,72893153,2145
"442","chr10",49131845,49132133,49131989,288
"443","chr13",25095903,25096393,25096148,490
"444","chr16",85636528,85636743,85636635,215
"445","chr3",11017132,11017365,11017248,233
"446","chr12",120495846,120496910,120496378,1064
"447","chr13",29850012,29850804,29850408,792
"448","chr12",132277357,132277604,132277480,247
"449","chr19",40596939,40597240,40597089,301
"450","chr1",173476839,173477966,173477402,1127
"451","chr13",45713147,45714079,45713613,932
"452","chr19",34772743,34773370,34773056,627
"453","chr4",122922207,122922640,122922423,433
"454","chr1",234608530,234611278,234609904,2748
"455","chr12",130138597,130138947,130138772,350
"456","chr19",40529193,40529533,40529363,340
"457","chr1",7827138,7827416,7827277,278
"458","chr15",58987542,58988521,58988031,979
"459","chr4",56655455,56656537,56655996,1082
"460","chr14",100734280,100734592,100734436,312
"461","chr8",143255366,143256415,143255890,1049
"462","chr14",81533407,81534090,81533748,683
"463","chr12",109713522,109714953,109714237,1431
"464","chr1",212514885,212515106,212514995,221
"465","chr6",159968800,159969858,159969329,1058
"466","chr18",36067102,36067702,36067402,600
"467","chr4",1552738,1552951,1552844,213
"468","chr16",6483018,6483982,6483500,964
"469","chr18",50729174,50729989,50729581,815
"470","chr9",113012015,113012335,113012175,320
"471","chr17",55751061,55751377,55751219,316
"472","chr7",108454957,108456714,108455835,1757
"473","chr2",68319207,68319979,68319593,772
"474","chr15",70853656,70854481,70854068,825
"475","chr12",78804284,78804620,78804452,336
"476","chr6",17600151,17601166,17600658,1015
"477","chr7",865971,866249,866110,278
"478","chr7",142854117,142855424,142854770,1307
"479","chr6",110981911,110982282,110982096,371
"480","chr5",66144008,66144936,66144472,928
"481","chr6",43308681,43308921,43308801,240
"482","chr1",8211936,8212142,8212039,206
"483","chr6",35511611,35512377,35511994,766
"484","chr15",28094628,28097296,28095962,2668
"485","chr1",84505661,84506808,84506234,1147
"486","chr12",109309021,109310573,109309797,1552
"487","chr16",88754709,88755232,88754970,523
"488","chr12",94186880,94187098,94186989,218
"489","chr4",169009639,169010456,169010047,817
"490","chr21",43789386,43789999,43789692,613
"491","chr17",28896987,28897855,28897421,868
"492","chr4",42397135,42398785,42397960,1650
"493","chr14",92513382,92514884,92514133,1502
"494","chr1",16612961,16613959,16613460,998
"495","chr17",4966894,4968415,4967654,1521
"496","chr8",26513656,26515314,26514485,1658
"497","chr12",27710700,27711148,27710924,448
"498","chr8",66612372,66613824,66613098,1452
"499","chr15",29569831,29571445,29570638,1614
"500","chr2",218984197,218984742,218984469,545
"501","chr2",127387283,127388321,127387802,1038
"502","chr14",90815883,90816604,90816243,721
"503","chr16",85625136,85625392,85625264,256
"504","chr16",85170992,85171425,85171208,433
"505","chr17",35808874,35809906,35809390,1032
"506","chr16",4271824,4274063,4272943,2239
"507","chr6",37257582,37257924,37257753,342
"508","chr17",77088540,77089003,77088771,463
"509","chr1",53737729,53739637,53738683,1908
"510","chr12",51868947,51869666,51869306,719
"511","chr1",244047732,244049607,244048669,1875
"512","chr16",83968102,83969255,83968678,1153
"513","chr22",27438464,27438669,27438566,205
"514","chr15",43133704,43134065,43133884,361
"515","chrX",31071769,31072213,31071991,444
"516","chr8",143609230,143610099,143609664,869
"517","chr1",85616017,85616350,85616183,333
"518","chr10",102245382,102245835,102245608,453
"519","chr8",104466444,104467112,104466778,668
"520","chr9",135906616,135908479,135907547,1863
"521","chr1",47708822,47710847,47709834,2025
"522","chr16",68264109,68265076,68264592,967
"523","chr10",127195241,127196565,127195903,1324
"524","chr20",43457308,43458682,43457995,1374
"525","chr22",49052017,49052471,49052244,454
"526","chr16",11667885,11669087,11668486,1202
"527","chr12",132801798,132802052,132801925,254
"528","chr12",132379724,132380308,132380016,584
"529","chr2",27663392,27664543,27663967,1151
"530","chr15",40763198,40764589,40763893,1391
"531","chr11",69774058,69775778,69774918,1720
"532","chr19",15401214,15401582,15401398,368
"533","chr20",461886,462721,462303,835
"534","chr13",26253799,26254966,26254382,1167
"535","chr1",231241050,231241497,231241273,447
"536","chr10",112446846,112447562,112447204,716
"537","chr4",54229872,54234164,54232018,4292
"538","chr11",64342350,64342756,64342553,406
"539","chr17",45783318,45785562,45784440,2244
"540","chr8",92965565,92966241,92965903,676
"541","chr19",19260866,19261584,19261225,718
"542","chr1",205774772,205775540,205775156,768
"543","chr6",31682871,31683515,31683193,644
"544","chr17",57861727,57862230,57861978,503
"545","chr1",23177566,23178140,23177853,574
"546","chr3",69084935,69085328,69085131,393
"547","chr1",44405469,44408375,44406922,2906
"548","chr19",44141341,44141916,44141628,575
"549","chr19",12092213,12092688,12092450,475
"550","chr8",64575979,64576559,64576269,580
"551","chr10",124388836,124389506,124389171,670
"552","chr2",43995602,43996593,43996097,991
"553","chr2",71852232,71852480,71852356,248
"554","chrX",48574427,48574934,48574680,507
"555","chr13",110615433,110616431,110615932,998
"556","chr1",19643761,19645429,19644595,1668
"557","chr6",33313335,33314050,33313692,715
"558","chr16",86681392,86681719,86681555,327
"559","chr15",74937441,74938319,74937880,878
"560","chr1",113929343,113930277,113929810,934
"561","chr1",2930491,2930723,2930607,232
"562","chr16",29185216,29185450,29185333,234
"563","chr7",102300501,102301273,102300887,772
"564","chr11",67071447,67071721,67071584,274
"565","chr2",20223327,20226006,20224666,2679
"566","chr7",157017878,157021899,157019888,4021
"567","chr16",71860204,71860491,71860347,287
"568","chr2",179263891,179264936,179264413,1045
"569","chr1",2513916,2514209,2514062,293
"570","chr13",93226992,93228624,93227808,1632
"571","chr19",17390377,17391441,17390909,1064
"572","chr17",35731530,35732316,35731923,786
"573","chr6",53347819,53349245,53348532,1426
"574","chr5",80255550,80256475,80256012,925
"575","chr22",23894070,23895352,23894711,1282
"576","chr16",21519791,21520802,21520296,1011
"577","chr3",188947486,188947763,188947624,277
"578","chr17",49494983,49497954,49496468,2971
"579","chr16",73062989,73063216,73063102,227
"580","chr4",122732430,122732845,122732637,415
"581","chr15",31869961,31871001,31870481,1040
"582","chr16",22373756,22375164,22374460,1408
"583","chr2",9422997,9424153,9423575,1156
"584","chr3",169661649,169663268,169662458,1619
"585","chr19",17795295,17795508,17795401,213
"586","chr10",49538588,49539283,49538935,695
"587","chr14",70808555,70809854,70809204,1299
"588","chr3",61250932,61251553,61251242,621
"589","chr15",99014749,99015941,99015345,1192
"590","chr1",145845532,145845932,145845732,400
"591","chr2",144389556,144389909,144389732,353
"592","chr8",42541092,42542052,42541572,960
"593","chr1",17149207,17149580,17149393,373
"594","chr5",2136683,2137191,2136937,508
"595","chr12",56266658,56267347,56267002,689
"596","chr16",87860753,87860960,87860856,207
"597","chr17",1160648,1161010,1160829,362
"598","chr2",238140747,238141448,238141097,701
"599","chr1",37474122,37474620,37474371,498
"600","chr3",147359328,147359885,147359606,557
"601","chr2",10689598,10690115,10689856,517
"602","chr2",44952120,44953255,44952687,1135
"603","chr19",58084449,58085560,58085004,1111
"604","chr17",80010181,80010683,80010432,502
"605","chr6",34196360,34196749,34196554,389
"606","chr4",186889116,186889581,186889348,465
"607","chr13",41456777,41458531,41457654,1754
"608","chr10",688767,690282,689524,1515
"609","chr21",32727405,32728485,32727945,1080
"610","chr12",56007712,56008036,56007874,324
"611","chr3",172750582,172751055,172750818,473
"612","chr16",85829775,85829995,85829885,220
"613","chr12",123787581,123788038,123787809,457
"614","chr3",191863139,191863511,191863325,372
"615","chrX",48508777,48509354,48509065,577
"616","chr1",2212760,2213058,2212909,298
"617","chr16",30052879,30053357,30053118,478
"618","chr4",10461208,10462065,10461636,857
"619","chr17",81078092,81078734,81078413,642
"620","chr15",41971958,41972663,41972310,705
"621","chr6",44002187,44003185,44002686,998
"622","chr6",35496279,35498492,35497385,2213
"623","chr6",30259543,30260478,30260010,935
"624","chr10",59905898,59907036,59906467,1138
"625","chr16",89964101,89964332,89964216,231
"626","chr1",200147568,200148076,200147822,508
"627","chr2",206765154,206765436,206765295,282
"628","chr8",133569726,133572716,133571221,2990
"629","chr1",32886085,32886796,32886440,711
"630","chr15",90001688,90002679,90002183,991
"631","chr13",72727092,72728016,72727554,924
"632","chr15",96321652,96323558,96322605,1906
"633","chr18",57586312,57586861,57586586,549
"634","chr6",32195515,32196606,32196060,1091
"635","chr1",160083931,160084948,160084439,1017
"636","chr16",30922316,30923444,30922880,1128
"637","chr12",6493882,6494140,6494011,258
"638","chr13",39655606,39656044,39655825,438
"639","chr2",120586974,120587765,120587369,791
"640","chr17",44218493,44222351,44220422,3858
"641","chr18",24397311,24397922,24397616,611
"642","chr18",5542848,5544242,5543545,1394
"643","chr7",42493477,42493684,42493580,207
"644","chr7",143287954,143288717,143288335,763
"645","chr16",10944307,10944906,10944606,599
"646","chr7",151395789,151396111,151395950,322
"647","chr2",85327011,85328291,85327651,1280
"648","chr18",52342007,52342352,52342179,345
"649","chrX",46912128,46913546,46912837,1418
"650","chr1",156291408,156291634,156291521,226
"651","chr16",30748082,30748999,30748540,917
"652","chr1",116667202,116667999,116667600,797
"653","chr18",78390398,78391531,78390964,1133
"654","chr1",226703331,226703680,226703505,349
"655","chr15",57306340,57307115,57306727,775
"656","chr17",39224700,39226110,39225405,1410
